1778696492.022		634	81	26	419	108	421	84	312	0	200
1778696492.122	close]	662	93	27	469	73	471	98	126	0	404
1778696492.223		575	93	26	417	39	420	79	129	0	200
1778696492.322		693	107	27	496	63	500	84	312	0	200
1778696492.422	close]	609	110	25	427	47	433	98	126	0	404
1778696492.521		694	92	20	519	63	522	79	129	0	200
1778696492.619		548	83	28	391	46	379	84	312	0	200
1778696492.716	close]	659	99	20	465	75	466	98	126	0	404
1778696492.815		628	91	29	475	33	479	79	129	0	200
1778696492.913		592	117	29	409	37	412	84	312	0	200
1778696493.010	close]	504	84	25	360	35	363	98	126	0	404
1778696493.106		577	81	24	424	48	425	79	129	0	200
1778696493.202		536	81	25	394	36	397	84	312	0	200
1778696493.298	close]	558	109	29	375	45	388	98	126	0	404
1778696493.394		584	90	27	420	47	421	79	129	0	200
1778696493.489		606	113	29	406	58	411	84	312	0	200
1778696493.584	close]	548	86	26	385	51	388	98	126	0	404
1778696493.678		527	77	24	391	35	394	79	129	0	200
1778696493.772		638	109	25	453	51	456	84	312	0	200
1778696493.866	close]	535	87	25	373	50	377	98	126	0	404
1778696493.960		639	100	27	448	64	451	79	129	0	200
1778696494.053		514	80	24	380	30	383	84	312	0	200
1778696494.145	close]	584	92	25	407	60	416	98	126	0	404
1778696494.237		629	87	27	437	78	441	79	129	0	200
1778696494.330		741	131	29	524	57	529	84	312	0	200
1778696494.422	close]	501	92	27	354	28	356	98	126	0	404
1778696494.512		630	115	49	417	49	421	79	129	0	200
1778696494.604		488	79	24	345	40	347	84	312	0	200
1778696494.695	close]	557	90	26	384	57	386	98	126	0	404
1778696494.786		562	98	27	374	63	379	79	129	0	200
1778696494.876		582	88	28	315	151	316	84	312	0	200
1778696494.966	close]	446	91	28	287	40	292	98	126	0	404
1778696495.055		539	83	26	307	123	309	79	129	0	200
1778696495.145		548	91	27	388	42	392	84	312	0	200
1778696495.233	close]	519	93	24	360	42	364	98	126	0	404
1778696495.322		724	108	29	497	90	501	79	129	0	200
1778696495.410		590	97	25	419	49	420	84	312	0	200
1778696495.499	close]	665	115	28	389	133	395	98	126	0	404
1778696495.587		594	99	26	420	49	424	79	129	0	200
1778696495.673		597	90	23	381	103	383	84	312	0	200
1778696495.762	close]	548	88	23	394	43	399	98	126	0	404
1778696495.849		638	106	29	420	83	424	79	129	0	200
1778696495.935		612	83	24	460	45	462	84	312	0	200
1778696496.022	close]	562	78	35	403	46	403	98	126	0	404
1778696496.108		586	90	26	415	55	417	79	129	0	200
1778696496.193		717	94	26	537	60	539	84	312	0	200
1778696496.280	close]	691	113	29	497	52	502	98	126	0	404
1778696496.365		637	90	25	450	72	453	79	129	0	200
1778696496.450		599	80	26	440	53	442	84	312	0	200
1778696496.534	close]	581	127	28	395	31	413	98	126	0	404
1778696496.620		697	111	27	491	68	494	79	129	0	200
1778696496.704		491	95	27	294	75	297	84	312	0	200
1778696496.788	close]	558	102	27	393	36	396	98	126	0	404
1778696496.872		570	88	26	411	45	415	79	129	0	200
1778696496.956		572	81	27	416	48	418	84	312	0	200
1778696497.039	close]	462	82	25	322	33	326	98	126	0	404
1778696497.122		511	83	27	352	49	355	79	129	0	200
1778696497.205		509	82	25	352	50	354	84	312	0	200
1778696497.288	close]	680	103	29	498	50	504	98	126	0	404
1778696497.370		498	86	29	348	35	352	79	129	0	200
1778696497.453		529	82	25	392	30	395	84	312	0	200
1778696497.535	close]	635	113	27	442	53	446	98	126	0	404
1778696497.616		701	103	29	506	63	498	79	129	0	200
1778696497.698		551	98	39	343	71	346	84	312	0	200
1778696497.779	close]	562	94	26	376	66	381	98	126	0	404
1778696497.860		447	95	25	294	33	295	79	129	0	200
1778696497.941		660	88	27	497	48	499	84	312	0	200
1778696498.022	close]	565	81	25	415	44	417	98	126	0	404
1778696498.102		617	72	24	462	59	463	79	129	0	200
1778696498.182		573	82	24	396	71	397	84	312	0	200
1778696498.262	close]	611	105	16	450	40	453	98	126	0	404
1778696498.342		578	101	28	397	52	401	79	129	0	200
1778696498.421		655	88	25	472	70	473	84	312	0	200
1778696498.501	close]	539	87	19	393	40	395	98	126	0	404
1778696498.580		588	132	30	341	85	346	79	129	0	200
1778696498.659		554	78	25	360	91	362	84	312	0	200
1778696498.738	close]	536	78	24	394	40	396	98	126	0	404
1778696498.817		609	97	29	432	51	435	79	129	0	200
1778696498.895		554	82	25	413	34	415	84	312	0	200
1778696498.973	close]	599	85	25	416	73	417	98	126	0	404
1778696499.051		542	86	26	354	76	357	79	129	0	200
1778696499.129		501	91	26	340	44	342	84	312	0	200
1778696499.206	close]	554	76	24	413	41	414	98	126	0	404
1778696499.284		590	86	24	408	72	411	79	129	0	200
1778696499.361		621	82	34	458	47	458	84	312	0	200
